No,Code,X,Y,SiteName,FeatureName,Context,SiteType,SampleID,Lab,LabID,Material,BP,Error,References,ETC
205,SC-25,209810.372 ,546476.770 ,20-4 Shincheon-dong,"Area 7, Dwelling No. 22",5,Dwelling,-,Radpion,RPC-220306,Charcoal,1750,30,"Dowon Institute of Cultural Heritage, 2024, The Excavation Report of 20-4, Sincheon-dong, Seoul",-
206,SC-26,209864.189 ,546512.084 ,20-4 Shincheon-dong,"Area 7, Dwelling No. 30",-,Dwelling,-,Radpion,RPC-220307,Charcoal,1690,40,"Dowon Institute of Cultural Heritage, 2024, The Excavation Report of 20-4, Sincheon-dong, Seoul",-
207,SC-27,209863.621 ,546511.062 ,20-4 Shincheon-dong,"Area 7, Dwelling No. 32",1,Dwelling,-,Radpion,RPC-220308,Charcoal,1770,40,"Dowon Institute of Cultural Heritage, 2024, The Excavation Report of 20-4, Sincheon-dong, Seoul",-
208,SC-28,209863.621 ,546511.062 ,20-4 Shincheon-dong,"Area 7, Dwelling No. 32",2,Dwelling,-,Radpion,RPC-220309,Charcoal,1710,40,"Dowon Institute of Cultural Heritage, 2024, The Excavation Report of 20-4, Sincheon-dong, Seoul",-
209,SC-29,209863.621 ,546511.062 ,20-4 Shincheon-dong,"Area 7, Dwelling No. 32",3,Dwelling,-,Radpion,RPC-220310,Charcoal,1740,30,"Dowon Institute of Cultural Heritage, 2024, The Excavation Report of 20-4, Sincheon-dong, Seoul",-
210,SC-30,209864.889 ,546511.747 ,20-4 Shincheon-dong,"Area 7, Dwelling No. 37",1,Dwelling,-,Radpion,RPC-220311,Charcoal,1680,40,"Dowon Institute of Cultural Heritage, 2024, The Excavation Report of 20-4, Sincheon-dong, Seoul",-
211,SC-31,209864.889 ,546511.747 ,20-4 Shincheon-dong,"Area 7, Dwelling No. 37",2,Dwelling,-,Radpion,RPC-220312,Charcoal,1740,30,"Dowon Institute of Cultural Heritage, 2024, The Excavation Report of 20-4, Sincheon-dong, Seoul",-
212,SC-32,209864.889 ,546511.747 ,20-4 Shincheon-dong,"Area 7, Dwelling No. 37",3,Dwelling,-,Radpion,RPC-220313,Charcoal,1720,30,"Dowon Institute of Cultural Heritage, 2024, The Excavation Report of 20-4, Sincheon-dong, Seoul",-
213,SC-33,209923.004 ,546487.502 ,20-4 Shincheon-dong,"Area 7, Pit No. 138",-,Pit,-,Radpion,RPC-220314,Charcoal,1640,30,"Dowon Institute of Cultural Heritage, 2024, The Excavation Report of 20-4, Sincheon-dong, Seoul",-
214,SC-34,209784.998 ,546421.597 ,20-4 Shincheon-dong,"Area 8, Dwelling No. 4",-,Dwelling,-,Radpion,RPC-220315,Charcoal,1750,30,"Dowon Institute of Cultural Heritage, 2024, The Excavation Report of 20-4, Sincheon-dong, Seoul",-
215,BI-7,210397.825 ,545420.908 ,Bangi-dong Tombs,Tomb No. 3,"Mound Section, at a depth of 1m below the original burial mound (East Trench No. 2)",Tomb,Mound 1,Radpion,RPC-180032,Charcoal,2730,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
216,BI-8,210393.828 ,545417.664 ,Bangi-dong Tombs,Tomb No. 3,"Mound Section, Fired-compacted Layer, West Trench No. 2, Tomb No. 3",Tomb,Mound 2-1,Radpion,RPC-180033,Charcoal,2790,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
217,BI-9,210393.828 ,545417.664 ,Bangi-dong Tombs,Tomb No. 3,"Mound Section, Fired-compacted Layer, West Trench No. 2, Tomb No. 3",Tomb,Mound 2-2,Radpion,RPC-180034,Charcoal,2770,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
218,BI-10,210396.743 ,545417.906 ,Bangi-dong Tombs,Tomb No. 3,"Mound Section, Fired-compacted Layer, North Trench, Tomb No. 3",Tomb,Mound  3-1,Radpion,RPC-180035,Charcoal,2780,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
219,BI-11,210396.743 ,545417.906 ,Bangi-dong Tombs,Tomb No. 3,"Mound Section, Fired-compacted Layer, North Trench, Tomb No. 3",Tomb,Mound 3-2,Radpion,RPC-180036,Charcoal,2860,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
220,BI-12,210397.973 ,545416.593 ,Bangi-dong Tombs,Tomb No. 3,"Fired-compacted hardened surface (West Wall), beneath the rubble stones within the East-West pit of the tomb passage, inside Tomb No. 3",Tomb,4,Radpion,RPC-180037,Charcoal,1500,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
221,BI-13,210396.743 ,545417.906 ,Bangi-dong Tombs,Tomb No. 3,"Upper fired-compacted hardened surface of the floor, beneath the river gravel pavement in the tomb passage, inside Tomb No. 3",Tomb,5,Radpion,RPC-180038,Charcoal,1490,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
222,BI-14,210396.743 ,545417.906 ,Bangi-dong Tombs,Tomb No. 3,"Floor at the eastern corner of the passage entrance, inside Tomb No. 3",Tomb,7,Radpion,RPC-180040,Charcoal,1480,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
223,BI-15,210396.743 ,545417.906 ,Bangi-dong Tombs,Tomb No. 3,"ired-compacted surface on the exposed drainage ditch of the burial chamber floor, inside Tomb No. 3",Tomb,9,Radpion,RPC-180042,Charcoal,1510,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
224,BI-16,210396.743 ,545417.906 ,Bangi-dong Tombs,Bronze Age Dwelling No. 1,Charred Structural Element No. 1,Dwelling,10,Radpion,RPC-180043,Charcoal,2940,40,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
225,BI-17,210396.743 ,545417.906 ,Bangi-dong Tombs,Bronze Age Dwelling No. 1,Charred Structural Element No. 2,Dwelling,11-1,Radpion,RPC-180044,Charcoal,2930,40,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
226,BI-18,210396.743 ,545417.906 ,Bangi-dong Tombs,Bronze Age Dwelling No. 1,Charred Structural Element No. 2,Dwelling,11-2,Radpion,RPC-180045,Charcoal,2920,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
227,BI-19,210402.277 ,545421.234 ,Bangi-dong Tombs,Baekje Dwelling No. 1,Beneath the curbstone near the northwest corner within the sedimentary layer,Dwelling,12,Radpion,RPC-180046,Charcoal,1720,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
228,BI-20,210402.277 ,545421.234 ,Bangi-dong Tombs,Baekje Dwelling No. 1,Floor at the Stove Entrance,Dwelling,13-1,Radpion,RPC-180047,Charcoal,1700,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
229,BI-21,210402.277 ,545421.234 ,Bangi-dong Tombs,Baekje Dwelling No. 1,Floor at the Stove Entrance,Dwelling,13-2,Radpion,RPC-180048,Charcoal,1770,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
230,BI-22,210398.369 ,545414.500 ,Bangi-dong Tombs,Tomb No. 3,Sample No. 1 on the Burial Chamber Floor,Tomb,"Tomb Chamber Floor, Human Remains No. 3",Radpion,RPC-180119,Tooth,1590,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
231,BI-23,210398.369 ,545414.500 ,Bangi-dong Tombs,Tomb No. 3,Sample No. 1 on the Burial Chamber Floor,Tomb,"Tomb Chamber Floor, Human Remains No. 4",Radpion,RPC-180122,Bone,1690,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
232,BI-24,210398.369 ,545414.500 ,Bangi-dong Tombs,Tomb No. 3,Sample No. 1 on the Burial Chamber Floor,Tomb,"Tomb Chamber Floor, Human Remains No. 6",Beta Analytic,Beta-503136,Tooth,1470,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
233,BI-25,210398.369 ,545414.500 ,Bangi-dong Tombs,Tomb No. 3,Sample No. 1 on the Burial Chamber Floor,Tomb,"Tomb Chamber Floor, Human Remains No. 9",Beta Analytic,Beta-503137,Tooth,1590,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
234,BI-26,210398.369 ,545414.500 ,Bangi-dong Tombs,Tomb No. 3,Sample No. 2 on the Burial Chamber Floor,Tomb,"Tomb Chamber Floor, Human Remains No. 5",Radpion,RPC-180120,Tooth,1580,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
235,BI-27,210398.369 ,545414.500 ,Bangi-dong Tombs,Tomb No. 3,-,Tomb,"Tomb Chamber Floor, Human Remains No. 13",Radpion,RPC-180121,Tooth,1680,30,"Seoul Baekje Museum, 2019, Tomb No. 3 of the Bangi-dong Ancient Tombs",-
236,SCT-1,209033.793 ,544725.812 ,Seokchon-dong Tombs,Stone-mound Tomb No. 1,Interior Embankment Fill,Tomb,-,KIGAM,KGM-OWd180099,Charcoal,1810,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
237,SCT-2,209033.793 ,544725.812 ,Seokchon-dong Tombs,Stone-mound Tomb No. 1,East-West Pit (3),Tomb,-,KIGAM,KGM-OWd180100,Charcoal,1690,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
238,SCT-3,209033.793 ,544725.812 ,Seokchon-dong Tombs,Stone-mound Tomb No. 1,East-West Pit (6),Tomb,-,KIGAM,KGM-OWd180101,Charcoal,1700,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
239,SCT-4,209033.793 ,544725.812 ,Seokchon-dong Tombs,Burial Ritual Feature No. 1,Interiror Artifact-bearing Layer,Tomb,-,KIGAM,KGM-OWd180102,Charcoal,1850,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
240,SCT-5,209033.793 ,544725.812 ,Seokchon-dong Tombs,Burial Ritual Feature No. 1,Interior Artifact-bearing Middle Layer,Tomb,-,KIGAM,KGM-OWd180103,Charcoal,1680,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
241,SCT-6,209033.793 ,544725.812 ,Seokchon-dong Tombs,Burial Ritual Feature No. 1,Interior Artifact-bearing Middle Layer,Tomb,-,KIGAM,KGM-OWd180104,Charcoal,1770,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
242,SCT-7,209033.793 ,544725.812 ,Seokchon-dong Tombs,Burial Ritual Feature No. 1,Interiror Artifact-bearing Layer,Tomb,-,KIGAM,KGM-OWd180105,Charcoal,1730,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
243,SCT-8,209033.793 ,544725.812 ,Seokchon-dong Tombs,Burial Ritual Feature No. 1,Interiror Artifact-bearing Layer,Tomb,-,KIGAM,KGM-OWd180106,Charcoal,1800,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
244,SCT-9,209033.793 ,544725.812 ,Seokchon-dong Tombs,Burial Ritual Feature No. 1,Interior Artifact-bearing Middle Layer,Tomb,-,KIGAM,KGM-OWd180107,Charcoal,1690,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
245,SCT-10,209033.793 ,544725.812 ,Seokchon-dong Tombs,Burial Ritual Feature No. 1,Interior Artifact-bearing Middle Layer,Tomb,-,KIGAM,KGM-OWd180108,Charcoal,1740,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
246,SCT-11,209033.793 ,544725.812 ,Seokchon-dong Tombs,Burial Ritual Feature No. 1,Interior Artifact-bearing Lower Layer,Tomb,-,KIGAM,KGM-OWd180109,Charcoal,1840,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
247,SCT-12,209033.793 ,544725.812 ,Seokchon-dong Tombs,Burial Ritual Feature No. 1,Interior Artifact-bearing Lower Layer,Tomb,-,KIGAM,KGM-OWd180110,Charcoal,1710,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
248,SCT-13,209033.793 ,544725.812 ,Seokchon-dong Tombs,Burial Ritual Feature No. 1,Interior Artifact-bearing Middle Layer,Tomb,-,KIGAM,KGM-OWd180111,Charcoal,1750,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
249,SCT-14,209037.889 ,544719.408 ,Seokchon-dong Tombs,Junction of No. 2,"Embankment fill layer beneath the gravel layer, underlying the clay section of the southeast face",Tomb,1,Radpion,RPC-190029,Charcoal,1800,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
250,SCT-15,209037.889 ,544719.408 ,Seokchon-dong Tombs,Junction of No. 2,"Embankment fill layer beneath the gravel layer, underlying the clay section of the southeast face",Tomb,2,Radpion,RPC-190030,Charcoal,1730,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
251,SCT-16,209024.757 ,544719.796 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Lower stone pavement layer within the East-West pit,Tomb,3,Radpion,RPC-190031,Charcoal,1810,30,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
252,SCT-17,209024.757 ,544719.796 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Lower stone pavement layer within the East-West pit,Tomb,4,Radpion,RPC-190032,Charcoal,1720,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
253,SCT-18,209024.757 ,544719.796 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Interior fill of Pit No. 1 within the East-West Pit,Tomb,5,Radpion,RPC-190033,Charcoal,1720,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
254,SCT-19,209024.757 ,544719.796 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Interior fill of Pit No. 1 within the East-West Pit,Tomb,6,Radpion,RPC-190034,Charcoal,1850,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
255,SCT-20,209024.757 ,544719.796 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Interior fill of Pit No. 2 within the East-West Pit,Tomb,7,Radpion,RPC-190035,Charcoal,1720,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
256,SCT-21,209024.757 ,544719.796 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Interior fill of Pit No. 2 within the East-West Pit,Tomb,8,Radpion,RPC-190036,Charcoal,1710,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
257,SCT-22,209033.793 ,544725.812 ,Seokchon-dong Tombs,Stone-mound Tomb No. 1,Interior fill of the feature in the lower layer of the North-South Pit,Tomb,9,Radpion,RPC-190037,Charcoal,1700,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
258,SCT-23,209033.793 ,544725.812 ,Seokchon-dong Tombs,Stone-mound Tomb No. 1,Interior fill of the feature in the lower layer of the North-South Pit,Tomb,10,Radpion,RPC-190038,Charcoal,1670,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
259,SCT-24,209049.309 ,544715.441 ,Seokchon-dong Tombs,Burial Ritual Feature No. 7,Outer stacking layer within the embankment fill,Tomb,11,Radpion,RPC-190039,Charcoal,1600,40,"Seoul Baekje Museum, 2023, Excavation Report Ⅴ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
260,SCT-25,209049.309 ,544715.441 ,Seokchon-dong Tombs,Burial Ritual Feature No. 7,Outer stacking layer within the embankment fill,Tomb,12,Radpion,RPC-190040,Charcoal,1690,40,"Seoul Baekje Museum, 2023, Excavation Report Ⅴ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
261,SCT-26,209049.309 ,544715.441 ,Seokchon-dong Tombs,Burial Ritual Feature No. 7,Outer stacking layer within the embankment fill,Tomb,13,Radpion,RPC-190041,Charcoal,1720,40,"Seoul Baekje Museum, 2023, Excavation Report Ⅴ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
262,SCT-27,209049.309 ,544715.441 ,Seokchon-dong Tombs,Burial Ritual Feature No. 7,Outer stacking layer within the embankment fill,Tomb,14,Radpion,RPC-190042,Charcoal,1700,30,"Seoul Baekje Museum, 2023, Excavation Report Ⅴ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
263,SCT-28,209049.309 ,544715.441 ,Seokchon-dong Tombs,Burial Ritual Feature No. 7,Outer stacking layer within the embankment fill,Tomb,15,Radpion,RPC-190043,Charcoal,1700,40,"Seoul Baekje Museum, 2023, Excavation Report Ⅴ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
264,SCT-29,209049.309 ,544715.441 ,Seokchon-dong Tombs,Burial Ritual Feature No. 7,Outer stacking layer within the embankment fill,Tomb,16,Radpion,RPC-190044,Charcoal,1700,40,"Seoul Baekje Museum, 2023, Excavation Report Ⅴ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
265,SCT-30,209040.071 ,544721.619 ,Seokchon-dong Tombs,Wooden-coffin tomb No. 4,Interior fill of the southeast section,Tomb,17,Radpion,RPC-190045,Charcoal,1700,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
266,SCT-31,209040.071 ,544721.619 ,Seokchon-dong Tombs,Wooden-coffin tomb No. 4,Interior fill of the southeast section,Tomb,18,Radpion,RPC-190046,Charcoal,2150,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
267,SCT-32,209040.071 ,544721.619 ,Seokchon-dong Tombs,Wooden-coffin tomb No. 4,Interior fill of the northeast section,Tomb,19,Radpion,RPC-190047,Charcoal,1710,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
268,SCT-33,209040.071 ,544721.619 ,Seokchon-dong Tombs,Wooden-coffin tomb No. 4,Interior fill of the northeast section,Tomb,20,Radpion,RPC-190048,Charcoal,1860,40,"Seoul Baekje Museum, 2019, Excavation Report Ⅰ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
269,SCT-34,209034.246 ,544734.629 ,Seokchon-dong Tombs,Dwelling No. 1,Structural remains (charred posts and ceiling) from abandonment by fire,Dwelling,-,Radpion,RPC-200114,Charcoal,1710,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
270,SCT-35,209034.246 ,544734.629 ,Seokchon-dong Tombs,Dwelling No. 1,"Charred Wood ②, Upper West Wall Surface",Dwelling,-,Radpion,RPC-200115,Charcoal,1650,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
271,SCT-36,209034.246 ,544734.629 ,Seokchon-dong Tombs,Dwelling No. 1,"Charred wood from beneath Pottery 7, recovered from the occupation surface at the base of the West Wall",Dwelling,-,Radpion,RPC-200116,Charcoal,1730,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
272,SCT-37,209034.246 ,544734.629 ,Seokchon-dong Tombs,Dwelling No. 1,Charred wood from the occupation surface at the base of the South Wall,Dwelling,-,Radpion,RPC-200117,Charcoal,1740,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
273,SCT-38,209034.246 ,544734.629 ,Seokchon-dong Tombs,Dwelling No. 1,Floor outside the stove ①,Dwelling,-,Radpion,RPC-200118,Charcoal,1730,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
274,SCT-39,209034.246 ,544734.629 ,Seokchon-dong Tombs,Dwelling No. 1,Floor outside the stove ②,Dwelling,-,Radpion,RPC-200119,Charcoal,1750,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
275,SCT-40,209034.246 ,544734.629 ,Seokchon-dong Tombs,Dwelling No. 1,Charred wood from the floor of the internal pit ①,Dwelling,-,Radpion,RPC-200120,Charcoal,1670,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
276,SCT-41,209034.246 ,544734.629 ,Seokchon-dong Tombs,Dwelling No. 1,Charred wood from the floor of the internal pit ②,Dwelling,-,Radpion,RPC-200121,Charcoal,1620,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
277,SCT-42,209034.246 ,544734.629 ,Seokchon-dong Tombs,Dwelling No. 1,Interior Pit,Dwelling,-,Radpion,RPC-200122,Charcoal,1780,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
278,SCT-43,209040.880 ,544716.293 ,Seokchon-dong Tombs,Stone-mound Tomb No. 7,Interior Embankment Fill Layer,Tomb,-,Radpion,RPC-200123,Charcoal,2090,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
279,SCT-44,209040.880 ,544716.293 ,Seokchon-dong Tombs,Stone-mound Tomb No. 7,Embankment Fill Layer ②,Tomb,-,Radpion,RPC-200124,Charcoal,2170,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
280,SCT-45,209047.063 ,544715.801 ,Seokchon-dong Tombs,Stone-mound Tomb No. 7,Interior fill of the bottom-most pit,Tomb,-,Radpion,RPC-200125,Charcoal,1740,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
281,SCT-46,209028.899 ,544711.115 ,Seokchon-dong Tombs,Stone-mound Tomb No. 4-1,Fire-compacted surface within the interior embankment fill,Tomb,-,Radpion,RPC-200126,Charcoal,1640,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
282,SCT-47,209028.899 ,544711.115 ,Seokchon-dong Tombs,Stone-mound Tomb No. 4-1,Fire-compacted layer ② in the South Trench,Tomb,-,Radpion,RPC-200127,Charcoal,1720,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
283,SCT-48,209028.899 ,544711.115 ,Seokchon-dong Tombs,Stone-mound Tomb No. 4-1,Fire-compacted layer ③ in the South Trench,Tomb,-,Radpion,RPC-200128,Charcoal,1630,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
284,SCT-49,209023.791 ,544720.305 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Interior Embankment Fill Layer,Tomb,-,Radpion,RPC-200129,Charcoal,1660,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
285,SCT-50,209023.791 ,544720.305 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Artifact discard surface ② in the East-West Pit,Tomb,-,Radpion,RPC-200130,Charcoal,1730,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
286,SCT-51,209023.791 ,544720.305 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Artifact discard surface ③ in the East-West Pit,Tomb,-,Radpion,RPC-200131,Charcoal,1680,40,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
287,SCT-52,209041.646 ,544709.211 ,Seokchon-dong Tombs,Stone-mound Tomb No. 9,Interior Embankment Fill Layer,Tomb,-,Radpion,RPC-200132,Charcoal,1710,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
288,SCT-53,209041.646 ,544709.211 ,Seokchon-dong Tombs,Stone-mound Tomb No. 9,Embankment Fill Layer ②,Tomb,-,Radpion,RPC-200133,Charcoal,1700,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
289,SCT-54,209041.646 ,544709.211 ,Seokchon-dong Tombs,Stone-mound Tomb No. 9,Embankment Fill Layer ③,Tomb,-,Radpion,RPC-200134,Charcoal,1700,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
290,SCT-55,209007.815 ,544656.781 ,Seokchon-dong Tombs,Trench No. 5 in the Vicinity of Tomb No. 1,Sedimentary layer deposited immediately prior to the construction of the stone-mound tomb in the southwest area,Others,-,Radpion,RPC-200135,Charcoal,1630,30,"Seoul Baekje Museum, 2020, Excavation Report Ⅱ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
291,SCT-56,209023.791 ,544720.305 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Artifact-bearing Layer ?,Tomb,-,Radpion,RPC-220168,Charcoal,1710,30,"Seoul Baekje Museum, 2022, Excavation Report Ⅳ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
292,SCT-57,209023.791 ,544720.305 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Wood Planking Layer ⅩⅩⅦ,Tomb,-,Radpion,RPC-220169,Charcoal,1690,40,"Seoul Baekje Museum, 2022, Excavation Report Ⅳ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
293,SCT-58,209023.791 ,544720.305 ,Seokchon-dong Tombs,Stone-mound Tomb No. 8,Wood Planking Layer ⅩⅩⅦ,Tomb,-,Radpion,RPC-220170,Charcoal,1720,30,"Seoul Baekje Museum, 2022, Excavation Report Ⅳ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
294,SCT-59,209024.541 ,544679.153 ,Seokchon-dong Tombs,Stone-mound Tomb No. 21,Layer Ⅱ-2 of the pit within the eastern extension of the trench,Tomb,-,Radpion,RPC-220171,Charcoal,2060,30,"Seoul Baekje Museum, 2022, Excavation Report Ⅳ on the Seokchon-dong Ancient Tomb No. 1, Seoul",-
